"quimera","jira","seq","new_status","changed_at"
"3287","IAF-6","1","backlog","2026-03-06T19:27:40.506-04:00"
"3287","IAF-6","2","fila_exec","2026-04-17T06:56:51.402-04:00"
"3287","IAF-6","3","em_andamento","2026-04-20T12:55:09.199-04:00"
"3287","IAF-6","4","bloqueado","2026-04-20T14:21:34.978-04:00"
"3287","IAF-6","5","em_andamento","2026-04-24T08:37:45.049-04:00"
"3287","IAF-6","6","bloqueado","2026-05-11T10:45:31.329-04:00"
"3288","IAF-12","1","backlog","2026-03-18T08:33:48.852-04:00"
"3288","IAF-12","2","bloqueado","2026-03-18T08:34:16.569-04:00"
"3288","IAF-12","3","finalizado","2026-04-07T08:50:19.576-04:00"
"3289","IAF-13","1","backlog","2026-03-18T08:33:50.686-04:00"
"3289","IAF-13","2","em_andamento","2026-03-18T08:34:17.610-04:00"
"3289","IAF-13","3","finalizado","2026-04-07T08:48:05.914-04:00"
"3290","IAF-14","1","backlog","2026-03-18T08:33:52.396-04:00"
"3290","IAF-14","2","em_andamento","2026-03-18T08:34:19.106-04:00"
"3290","IAF-14","3","finalizado","2026-04-07T08:47:45.730-04:00"
"3291","IAF-15","1","backlog","2026-03-18T08:33:53.786-04:00"
"3291","IAF-15","2","em_validacao","2026-03-18T08:34:20.173-04:00"
"3291","IAF-15","3","finalizado","2026-05-07T16:22:26.867-04:00"
"3292","IAF-16","1","backlog","2026-03-18T08:33:56.701-04:00"
"3292","IAF-16","2","em_validacao","2026-03-18T08:34:21.264-04:00"
"3292","IAF-16","3","finalizado","2026-04-30T12:54:33.884-04:00"
"3293","IAF-17","1","backlog","2026-03-18T08:33:58.430-04:00"
"3293","IAF-17","2","fila_exec","2026-03-18T08:34:23.020-04:00"
"3294","IAF-18","1","backlog","2026-03-18T08:33:59.739-04:00"
"3294","IAF-18","2","fila_exec","2026-03-18T08:34:24.117-04:00"
"3294","IAF-18","3","finalizado","2026-04-07T08:48:50.133-04:00"
"3295","IAF-19","1","backlog","2026-03-18T08:34:01.226-04:00"
"3295","IAF-19","2","em_andamento","2026-03-18T08:34:25.224-04:00"
"3296","IAF-20","1","backlog","2026-03-18T08:34:02.630-04:00"
"3296","IAF-20","2","em_validacao","2026-03-18T08:34:26.839-04:00"
"3296","IAF-20","3","finalizado","2026-04-07T08:47:56.844-04:00"
"3297","IAF-22","1","backlog","2026-03-18T08:34:06.010-04:00"
"3297","IAF-22","2","cancelado","2026-04-06T08:28:15.835-04:00"
"3297","IAF-22","3","finalizado","2026-04-06T08:28:20.221-04:00"
"3298","IAF-23","1","backlog","2026-03-18T08:34:07.424-04:00"
"3298","IAF-23","2","fila_exec","2026-03-18T08:34:29.504-04:00"
"3298","IAF-23","3","finalizado","2026-05-08T13:03:56.645-04:00"
"3299","IAF-24","1","backlog","2026-03-18T08:34:09.545-04:00"
"3299","IAF-24","2","fila_exec","2026-03-18T08:34:30.622-04:00"
"3299","IAF-24","3","finalizado","2026-04-07T08:49:10.973-04:00"
"3300","IAF-25","1","backlog","2026-03-18T08:34:10.959-04:00"
"3300","IAF-25","2","em_validacao","2026-03-18T08:34:31.881-04:00"
"3300","IAF-25","3","finalizado","2026-04-07T08:47:59.059-04:00"
"3301","IAF-26","1","backlog","2026-03-18T08:34:12.352-04:00"
"3301","IAF-26","2","em_andamento","2026-03-18T08:34:33.393-04:00"
"3301","IAF-26","3","finalizado","2026-04-07T08:48:09.104-04:00"
"3302","IAF-28","1","backlog","2026-03-18T08:41:56.906-04:00"
"3302","IAF-28","2","em_andamento","2026-04-14T08:52:27.847-04:00"
"3302","IAF-28","3","finalizado","2026-04-14T08:52:30.159-04:00"
"3303","IAF-29","1","backlog","2026-03-18T08:41:59.004-04:00"
"3303","IAF-29","2","em_andamento","2026-04-14T08:51:45.503-04:00"
"3303","IAF-29","3","finalizado","2026-04-14T08:51:57.445-04:00"
"3304","IAF-30","1","backlog","2026-03-17T08:43:22.854-04:00"
"3304","IAF-30","2","em_andamento","2026-03-17T08:43:23.391-04:00"
"3304","IAF-30","3","bloqueado","2026-04-29T16:00:06.759-04:00"
"3305","IAF-31","1","backlog","2026-03-18T11:01:53.680-04:00"
"3305","IAF-31","2","em_andamento","2026-03-18T11:01:54.321-04:00"
"3305","IAF-31","3","em_validacao","2026-03-23T13:36:33.999-04:00"
"3305","IAF-31","4","finalizado","2026-04-02T14:53:46.078-04:00"
"3306","IAF-36","1","backlog","2026-03-19T08:07:00.158-04:00"
"3306","IAF-36","2","em_andamento","2026-03-19T08:07:00.894-04:00"
"3306","IAF-36","3","finalizado","2026-04-10T08:50:24.974-04:00"
"3327","IAF-67","1","backlog","2026-04-07T08:19:02.808-04:00"
"3327","IAF-67","2","em_andamento","2026-05-11T08:43:36.588-04:00"
"3328","IAF-69","1","backlog","2026-04-07T08:19:03.084-04:00"
"3328","IAF-69","2","em_andamento","2026-04-08T12:57:50.123-04:00"
"3329","IAF-71","1","backlog","2026-04-07T08:19:04.421-04:00"
"3329","IAF-71","2","em_andamento","2026-04-07T14:29:13.307-04:00"
"3329","IAF-71","3","finalizado","2026-04-08T12:57:31.006-04:00"
"3330","IAF-72","1","backlog","2026-04-07T08:19:04.708-04:00"
"3330","IAF-72","2","em_andamento","2026-04-08T18:43:30.682-04:00"
"3330","IAF-72","3","finalizado","2026-04-08T23:24:44.142-04:00"
"3331","IAF-73","1","backlog","2026-04-07T08:19:05.307-04:00"
"3331","IAF-73","2","em_andamento","2026-04-13T08:45:43.581-04:00"
"3331","IAF-73","3","finalizado","2026-04-15T08:56:20.360-04:00"
"3332","IAF-74","1","backlog","2026-04-07T08:19:05.376-04:00"
"3332","IAF-74","2","em_andamento","2026-04-07T12:54:27.131-04:00"
"3332","IAF-74","3","backlog","2026-04-07T12:54:30.263-04:00"
"3332","IAF-74","4","em_andamento","2026-04-07T14:29:25.917-04:00"
"3332","IAF-74","5","finalizado","2026-04-07T18:43:31.262-04:00"
"3333","IAF-75","1","backlog","2026-04-07T08:49:43.699-04:00"
"3333","IAF-75","2","em_andamento","2026-04-07T08:49:44.256-04:00"
"3333","IAF-75","3","fila_exec","2026-04-07T14:32:34.138-04:00"
"3333","IAF-75","4","em_andamento","2026-04-09T09:00:43.483-04:00"
"3333","IAF-75","5","finalizado","2026-04-10T18:13:10.662-04:00"
"3334","IAF-76","1","backlog","2026-04-07T08:51:11.365-04:00"
"3334","IAF-76","2","em_validacao","2026-04-07T08:51:11.999-04:00"
"3334","IAF-76","3","finalizado","2026-04-14T08:52:45.653-04:00"
"3335","IAF-77","1","backlog","2026-04-07T10:07:21.913-04:00"
"3335","IAF-77","2","em_andamento","2026-04-13T14:42:42.662-04:00"
"3335","IAF-77","3","backlog","2026-04-13T14:42:50.067-04:00"
"3335","IAF-77","4","em_andamento","2026-04-15T08:51:21.260-04:00"
"3335","IAF-77","5","backlog","2026-04-15T16:45:39.905-04:00"
"3335","IAF-77","6","em_andamento","2026-04-15T16:45:41.954-04:00"
"3335","IAF-77","7","backlog","2026-04-20T07:35:31.924-04:00"
"3336","IAF-78","1","backlog","2026-04-07T14:26:05.345-04:00"
"3336","IAF-78","2","bloqueado","2026-04-28T13:01:42.526-04:00"
"3336","IAF-78","3","finalizado","2026-05-15T09:43:41.209-04:00"
"3337","IAF-79","1","backlog","2026-04-07T14:34:32.287-04:00"
"3337","IAF-79","2","finalizado","2026-04-07T14:34:32.914-04:00"
"3337","IAF-79","3","em_andamento","2026-04-07T14:35:20.398-04:00"
"3337","IAF-79","4","finalizado","2026-04-07T14:35:30.166-04:00"
"3338","IAF-81","1","backlog","2025-11-14T14:50:23.343-04:00"
"3338","IAF-81","2","em_andamento","2026-02-19T08:32:23.779-04:00"
"3338","IAF-81","3","fila_exec","2026-03-03T08:39:20.463-04:00"
"3338","IAF-81","4","backlog","2026-04-08T16:28:46.654-04:00"
"3338","IAF-81","5","bloqueado","2026-04-15T12:58:28.216-04:00"
"3339","IAF-82","1","backlog","2026-04-09T08:45:17.689-04:00"
"3339","IAF-82","2","fila_exec","2026-04-09T08:45:21.817-04:00"
"3339","IAF-82","3","finalizado","2026-04-30T12:54:15.766-04:00"
"3340","IAF-83","1","backlog","2026-04-09T09:00:18.399-04:00"
"3340","IAF-83","2","em_andamento","2026-04-09T09:00:44.638-04:00"
"3340","IAF-83","3","finalizado","2026-04-09T15:59:36.131-04:00"
"3341","IAF-84","1","backlog","2026-04-09T09:15:00.521-04:00"
"3341","IAF-84","2","em_andamento","2026-04-13T08:33:55.841-04:00"
